19 19 -0.234434
19 4 -0.344619
19 6 -0.064370
19 18 -0.373761
19 0 0.040736
19 14 0.151942
19 13 0.220277
19 3 0.353661
19 5 -0.090707
19 7 -0.222482
19 8 0.351804
19 15 0.070340
19 17 -0.150655
19 9 -0.221169
19 12 -0.126318
19 2 0.152165
19 16 0.079187
19 11 0.119812
19 1 -0.163441
19 10 -0.202590
4 4 -0.703012
4 6 0.019168
4 18 -0.538366
4 0 -0.184013
4 14 0.363580
4 13 0.348181
4 3 0.604440
4 5 -0.070927
4 7 -0.534014
4 8 0.664517
4 15 0.043554
4 17 -0.446649
4 9 -0.555836
4 12 0.030247
4 2 0.421890
4 16 0.011020
4 11 0.280201
4 1 -0.385826
4 10 -0.487866
6 6 -0.363676
6 18 -0.124389
6 0 0.091684
6 14 0.317040
6 13 0.281821
6 3 0.226272
6 5 -0.044444
6 7 0.144366
6 8 0.603570
6 15 0.022365
6 17 0.108111
6 9 0.131478
6 12 0.055606
6 2 0.050653
6 16 0.039043
6 11 0.133487
6 1 -0.257180
6 10 0.075441
18 18 -0.664298
18 0 -0.010595
18 14 0.148070
18 13 0.125317
18 3 0.435171
18 5 -0.109615
18 7 -0.296797
18 8 0.485100
18 15 0.045294
18 17 -0.243171
18 9 -0.333624
18 12 -0.194323
18 2 0.287759
18 16 0.030684
18 11 0.126456
18 1 -0.363227
18 10 -0.365720
0 0 -0.420454
0 14 0.273901
0 13 0.120840
0 3 0.270147
0 5 -0.181182
0 7 -0.329572
0 8 0.354029
0 15 -0.028596
0 17 -0.381259
0 9 -0.283672
0 12 0.035917
0 2 0.199039
0 16 -0.096005
0 11 0.143312
0 1 -0.234509
0 10 -0.226229
14 14 0.447503
14 13 0.328067
14 3 -0.068408
14 5 0.165086
14 7 0.402845
14 8 0.879915
14 15 0.253857
14 17 0.387129
14 9 0.345665
14 12 0.253562
14 2 -0.077338
14 16 0.304711
14 11 0.322829
14 1 0.366870
14 10 0.391386
13 13 0.138656
13 3 0.387269
13 5 0.121923
13 7 0.261048
13 8 0.454623
13 15 0.124518
13 17 0.228276
13 9 0.235278
13 12 0.209424
13 2 0.269948
13 16 0.115009
13 11 0.164666
13 1 0.162897
13 10 0.284923
3 3 0.519701
3 5 0.332367
3 7 0.410032
3 8 0.012893
3 15 0.271188
3 17 0.392534
3 9 0.448279
3 12 0.383644
3 2 0.488283
3 16 0.271534
3 11 0.324327
3 1 0.497734
3 10 0.498675
5 5 -0.255924
5 7 -0.083515
5 8 0.260006
5 15 -0.133007
5 17 -0.149644
5 9 0.014277
5 12 -0.042072
5 2 0.079362
5 16 -0.147387
5 11 -0.017850
5 1 -0.375915
5 10 -0.086709
7 7 -0.741371
7 8 0.472649
7 15 0.035879
7 17 -0.605980
7 9 -0.622243
7 12 0.053903
7 2 0.317776
7 16 -0.112648
7 11 0.195756
7 1 -0.334320
7 10 -0.460871
8 8 0.739156
8 15 0.316505
8 17 0.457960
8 9 0.544582
8 12 0.529424
8 2 0.009423
8 16 0.349970
8 11 0.333295
8 1 0.423622
8 10 0.606938
15 15 -0.143481
15 17 0.002981
15 9 0.093907
15 12 0.030913
15 2 0.076666
15 16 -0.076486
15 11 0.039682
15 1 -0.217814
15 10 0.100167
17 17 -0.616234
17 9 -0.531346
17 12 -0.025857
17 2 0.305824
17 16 -0.143345
17 11 0.234516
17 1 -0.374102
17 10 -0.390939
9 9 -0.689520
9 12 0.092714
9 2 0.454453
9 16 -0.023880
9 11 0.344292
9 1 -0.273486
9 10 -0.455157
12 12 0.035902
12 2 0.235990
12 16 0.012182
12 11 0.131156
12 1 -0.187923
12 10 0.071040
2 2 0.299512
2 16 0.129558
2 11 0.121856
2 1 0.247358
2 10 0.362881
16 16 -0.115522
16 11 0.037136
16 1 -0.194533
16 10 -0.015823
11 11 -0.082201
11 1 0.046930
11 10 0.232403
1 1 -1.994691
1 10 -0.267423
10 10 -0.663340
